id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,description,accommodates,bedrooms,review_scores_rating
63247,Lovely art suite with yard,Mission,Entire home/apt,314,2,445,52,"This is a lovely Mission en-suite bed and bath with private entrance, high ceilings, hardwood floors and lots of sun. Enjoy the landscaped front yard that features a custom stone planter bench with date palm. The space includes a dedicated work space, perfect for remote working! The en-suite bed and bath is cleaned and disinfected thoroughly per CDC guidelines before and after each stay.",2,1.0,4.69
64165,Great room in a fantastic location!,Marina,Private room,203,30,79,266,"Beautiful sun filled room with a desk for working. High speed internet. Beautiful new bathroom that belongs to the guest. Your desk has amazing morning sun that you can block with shades or let in to raise your spirit. There is a small refrigerator in the room that you can fill with cold drinks to get your through the day (hydration is everything!) When you need a break for lunch or dinner you can walk less than 100 yards and get amazing Mexican, Italian, vegan, salads or gelato.",2,1.0,4.97
68239,Beautiful 1bdr apt by Dolores Park in Mission,Mission,Entire home/apt,323,30,54,179,"Super nice apartments in one of the absolute best locations in SF, close to hundreds of restaurants and top nightlife, yet far enough to be quiet at night. All major tech shuttle stops are close by. You'll also love the rooftop patio & fast internet.",2,1.0,4.82
69410,Private 1BR Inner Richmond Apartment,Inner Richmond,Entire home/apt,316,30,76,165,"Our separate, private 500 sqft 1BR apartment with full bath is located on the first floor of a pristine Inner Richmond home (one of the top coolest neighborhoods 2023 in the world by TimeOut). We’re currently only accepting guests who can start in December and we’ve discounted December to $63/night. October 2025 average rent for 1BR apartments in SF is $3,510 (Zumper). For 14 years on Airbnb, we strive to provide a comfortable, safe, clean and affordable living experience for our guests.",2,1.0,4.92
70139,Noe Valley Studio + Home Office,Bernal Heights,Entire home/apt,286,30,19,0,"Monthly maid service and all bills paid. Book 1st month on Airbnb with year-long lease (no penalty for early move-out). Studio apartment, full kitchen, private laundry, home office. Queen size bed plus fold-out sofa for a guest. Smart TV for streaming (no cable TV), spacious bathroom with bathtub and storage. Outdoor areas (shared with the owners who live upstairs) include wifi, power hookups, peaceful fountain, table and chairs for working from home or just relaxing.",2,1.0,4.89
70753,Single Bed In 8 Bed Dorm - Downtown @ ITH Hostels,Financial District,Shared room,174,1,457,268,Enjoy staying at our Hostel in the heart of Downtown San Francisco! We offer comfortable rooms and common areas where you can relax and enjoy meeting travelers!,8,1.0,4.62
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",Bernal Heights,Entire home/apt,281,3,432,190,"Wake up to the soothing green view from this recently remodeled (mid-2023) studio nestled on a sleepy block in Bernal Heights. A peaceful backyard with a Buddha sculpture and a modernist inspired courtyard sit alongside the bedroom, kitchenette and bathroom. Free street parking (parallel) is available on my block and surrounding streets, not restricted, and typically easily available. Note that the in-law studio shares a common front door and foyer with the main house upstairs.",2,1.0,4.95
72444,Single Bed In 8 Bed Quiet Dorm @ ITH Hostels,Financial District,Shared room,164,1,583,270,Enjoy staying at our Hostel in the heart of Downtown San Francisco! We offer comfortable rooms and common areas where you can relax and enjoy meeting travelers!,8,1.0,4.73
77175,Private Studio with Kitchenette,Glen Park,Entire home/apt,313,3,452,64,"Private self-contained studio with queen size bed, kitchenette, couch, smart flat-screen TV, private bathroom (w/ full shower/tub) and partial view of SF bay. Please note: Airbnb's ""listing types"" do not have a good fit for our studio. ""Entire Place"" best describes our studio because it is the only room on the ground floor of our home and it is private with its own entrance. However, there are shared areas in our listing including our home's front door, basement/office, and backyard.",2,1.0,4.89
78651,Heart of the Mission: Hot spot,Mission,Private room,85,30,92,361,Welcome to our home! You will be living with Seb and I as well as 2 other roommates. We are proud to have been hosting with Airbnb since 2010; we've built a community of current and returning guests. Minimum stay is 30 days.,1,2.0,4.73
80394,Hideaway in the Haight,Haight Ashbury,Entire home/apt,269,30,26,0,This wonderful naturally lit flat has everything you'll need to make your vacation or biz trip complete. Equipped with modern conveniences while preserving the vintage charm. On a quiet street across from a park and easy access to public transit and the tech shuttles.,2,1.0,4.92
81158,Sweet 1 br Garden Apartment - Lewhit Cottage,Western Addition,Entire home/apt,372,30,40,143,"Lewhit Cottage is a one bedroom secluded garden apartment in a great location. 30 Night Minimum. Off the street on a tiled patio, in a lovely Victorian, behind the rest of the block. Quiet and serene.",4,1.0,4.85
83257,Charming Lower Pac Hts Private Room,Western Addition,Private room,102,21,118,98,"Sunny, comfortable room in our safe, inviting & peaceful top floor condo for a non-smoking FEMALE (only) traveler​ who wants to live in a friendly, respectful drug & alcohol-free home. Shared bathroom and kitchen with 2 other covid vaccinated adults, 3 cats, & a dog! Covid vaccine required as we will also be in the home.",1,1.0,4.87
91957,Sunny SF Flat with 5*s,Haight Ashbury,Entire home/apt,412,30,93,365,"Centrally located in San Francisco, this sunny and warm 2 bedroom 1.5 bath flat is on the main floor of a three story Edwardian home. The building was built in 1908 and is one of the original houses in the Cole Valley/Parnassus Heights area. The flat has been remodeled for a modern interior feel with some period detail left to preserve the beauty of the era in which it was built.",6,2.0,4.73
96383,Prime Location Bright Private Room,Pacific Heights,Private room,208,30,143,161,Prime Location Bright Private Room,1,1.0,4.71
99094,Spacious Edwardian Flat SF Mission,Mission,Entire home/apt,394,4,24,63,"Our historic 3 bedroom flat is sunny and spacious. Enjoy cooking in our fully equipped galley kitchen or dining out along the Valencia corridor, just half a block away. A 7 minute walk takes you to either historic streetcars or underground BART.",4,3.0,4.96
105497,Private Room in San Francisco!,Outer Sunset,Private room,78,45,4,0,"This peaceful bedroom is in an well cared for San Francisco single family home, within walking distance to transportation, restaurants, and stores. Also walkable to the historic Golden Gate Park and the beach.",1,,4.0
109883,San Francisco Serenity private/ lovely home,West of Twin Peaks,Entire home/apt,232,2,550,339,"San Francisco Serenity is a private, separate, quiet 2-room suite, with its own bathroom and private entrance. The bedroom has a queen sized bed and desk, and the front room has a flat screen TV and sofa that converts to a queen that sleeps 2. There is free unrestricted parking on the street in front of the house. Mobility note: Access to the apartment requires walking down two flights of outdoor steps.",4,1.0,4.75
121065,Victorian 1BR/1BA in Castro/Duboce,Western Addition,Entire home/apt,241,30,35,141,"Charming and completely upgraded light-filled 1891 victorian appt on a tree-lined street nestled between the mission, castro, haight and duboce triangle.",1,1.0,4.94
124011,Golden Gate Park/UCSF Family High-Tech Victorian,Inner Sunset,Entire home/apt,511,7,37,330,"On Golden Gate Park. Quiet street a short walk to museums and attractions in the heart of the park. Close U.C.S.F. Why here? Away from busy downtown in a local neighborhood of houses . The park's highlights are here, close access to beach, Highway 1 a few blocks away, small village feel with top city dining places. If you have kids, or an outdoors person, you'll like our quiet street and families on it, and close access to the park's open spaces nearby. Located on a city-designated Slow Street.",6,4.0,4.97
130775,Emergency happy room-sink UCSF/USF-San Francisco,Haight Ashbury,Private room,103,32,11,365,"Nice and good public transportation. 7 minutes walk to UCSF. 15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map)",1,1.0,4.36
132441,"Calm & Cool, Safe & Sunny on Bernal Hill",Bernal Heights,Private room,144,1,216,260,Enjoy a quiet getaway in picturesque Bernal Heights - one of San Francisco's safest and sunniest neighborhoods.,2,1.0,4.82
137129,San Francisco Luxury Rental,Inner Richmond,Entire home/apt,537,2,14,107,"Beautiful 3BR/2.5BA San Francisco Edwardian Home at the Edge of the Presidio. Our fully remodeled and elegantly furnished home comfortably sleeps 6 guests between the 3 large bedrooms. Late Fall Availability November 27th-Dec 09th, 2024.",6,3.0,4.93
138221,Lone Mountain Pied A Terre,Inner Richmond,Entire home/apt,236,30,90,20,"This charming, quiet and well-appointed apartment is available for your extended stay in San Francisco. It is fully private with access to a shared backyard. It has been recently remodeled with modern fixtures and appliances. Located in the Lone Mountain neighborhood, near Golden Gate Park, USF, the Inner Richmond, NOPA, and Haight-Ashbury",2,1.0,4.83
138592,Modern Architectural Gem - 4 Bdrm,Noe Valley,Entire home/apt,666,5,38,289,"Award-winning Dolores Heights Victorian renovated in a modernist style by renowned architect, featuring four bedrooms, two baths on two light-filled levels. Centrally located between the Mission, Castro and Noe Valley, this location can't be beat!",8,4.0,4.92
144978,Prime Location - Small Basic Room,Pacific Heights,Private room,179,30,124,269,Prime Location - Small Basic Room,1,,4.67
147443,Best Views in all of San Francisco,Diamond Heights,Entire home/apt,352,30,107,335,"The perfect place to enjoy VIEWS atop Noe Valley, the most central location within San Francisco. This 2nd story walk-up unit has hardwood floors, recessed lights w/ dimmers, large empty closets, and luxury bathrooms. Free HD Cable with DVR and HBO. Free high speed wifi. Huge sunny patio w/ hammock, sun lounger and zen rock garden. [DISCLAIMER: In extenuating circumstances, you may be asked to move to a newly renovated 3rd story unit w/ same interior floor plan.]",4,2.0,4.6
148627,Marina Studio w/ Private Entrance + Full Kitchen,Marina,Entire home/apt,217,30,121,279,Street parking only. Please follow all signs. Enjoy a wonderful respite at our romantic studio with your own private garden and full kitchen. Walk to everything. Just a few blocks from the water. Shops and restaurants await in literally every direction from our home. Easy 24 hour self-check in.,1,1.0,4.31
148769,Ground Floor Studio with Garage Parking,Twin Peaks,Entire home/apt,187,30,99,277,"Located only 7 minutes from UCSF, this is the ground floor in-law unit that can be booked separately or in conjunction with the two bedroom unit upstairs. This unit has private access to its own bedroom, full bath, kitchenette and garage parking for 1 vehicle. It also has direct access to the shared upstairs backyard.",2,1.0,4.19
150347,Cute Private 2Br Apt in the Mission with Parking!,Mission,Entire home/apt,340,30,136,283,"Live right around the corner from amazing restaurants, cafes, shopping in one of the most walkable neighborhoods in San Francisco. Wanna play tennis or people watch in the park—take a short stroll to Dolores Park. Want to catch the latest Christopher Nolan movie?—Alamo Draft house is 3 blocks away. Want the best ice cream in SF?—Bi Rite Creamery is walkable. Feel like having top notch Indian, Mexican, Sushi, Ethiopian, Italian, Greek, Burmese, or Salvadoran food?—All of it is walkable :)",4,2.0,4.73
166771,DOWNEY STREET - Victorian Flat,Haight Ashbury,Entire home/apt,319,30,177,133,"Available for long-term (30 days or more) only - Beautiful and sunny four room flat on a quiet residential street with easy access to public transportation, neighborhood amenities and Golden Gate Park. The flat is fully furnished, has a fabulous kitchen with a Viking Range. Wifi, gas & electricity included. Pet friendly.",2,1.0,4.88
175090,Financial Dist. Near Union Square/North Beach,Financial District,Entire home/apt,342,30,33,304,"This cozy unit is located in the heart of the financial district. Located just off Union Square in the financial district. Walk to Moscone Center. Close to the Ferry building, North Beach and Market Street. This small studio has a queen size bed, twin size sleeper sofa and expandable dining room table. Efficiency kitchenette. Shared roof top deck. Fantastic restaurants just outside your door. Close to public transportation. 2 person maximum, infants are considered one person.",2,0.0,4.5
175102,Financial District: Rooftop deck.Near dining/shops,Chinatown,Entire home/apt,283,30,58,229,"Fantastic location in the financial district just off Union Square. Walk to Moscone Center. Close to the Ferry building, North Beach and Market Street. This large studio has a queen bed, full size sleeper sofa and full kitchen with dishwasher, washer and dryer, garbage disposal and full-size refrigerator. Shared roof top deck. Perfect for interns, business travelers or vacationers. Fantastic restaurants outside your door.",2,0.0,4.75
183859,"Family-Friendly Flat In San Francisco, CA. USA",Glen Park,Entire home/apt,343,3,375,144,"Despite what you've heard or read, San Francisco remains an amazing town, that's once again reinventing itself. A.I.'s here so thank you for joining us for the next chapter.",4,2.0,4.89
193292,Nice Rooms With Private 1/2 Bath,Noe Valley,Private room,133,30,63,365,Nice Rooms With Private 1/2 Bath,1,1.0,4.93
199480,One room overlooking Precita Park,Bernal Heights,Private room,157,30,208,0,One room overlooking Precita Park,2,2.0,4.92
208714,Cozy fully furnished one bedroom apartment in SF,Downtown/Civic Center,Entire home/apt,273,30,80,177,"If you are looking for the most central location in SF, if you are looking to be within walking distance to all the shopping, sightseeing, restaurants, tech, and nightlife...then look no further, you have found your spot! Located in Nob Hill, hop on and off the cable cart, walk down the hill to all the restaurants, shopping or offices....FiDi is a 7 minute walk, union square is less than 5 minutes walking...cant beat the location!",2,1.0,4.78
208831,Suite in Heart of North Beach.,Russian Hill,Entire home/apt,444,3,695,0,"Classic San Francisco home (Edwardian) in the heart of San Francisco. Located 10 minutes walk from: Fisherman's Wharf, Little Italy, Chinatown, Coit Tower, Lombard (Crookedest) Street, great cafes and restaurants, plus the cable car stops just around the corner. SAFETY: I'm fully vaccinated against Covid. I hope that you are too. My home is a safe space for folks from all minority and marginalized groups. I welcome Guests of all races, faiths, genders and sexual orientations.",2,1.0,4.82
209514,Haight Ashbury Experience Room 2,Haight Ashbury,Private room,109,1,691,362,Here are the links to all of the Rooms: Room 1 https://www.airbnb.com/rooms/212783 Room 2 https://www.airbnb.com/rooms/209514 Room 3 https://www.airbnb.com/rooms/220418 Room 4 https://www.airbnb.com/rooms/213532 Room 5 https://www.airbnb.com/rooms/997382,2,1.0,4.72
212783,Haight Ashbury Experience Room 1,Haight Ashbury,Private room,145,1,676,363,Here are the links to all of the Rooms: Room 1 https://www.airbnb.com/rooms/212783 Room 2 https://www.airbnb.com/rooms/209514 Room 3 https://www.airbnb.com/rooms/220418 Room 4 https://www.airbnb.com/rooms/213532 Room 5 https://www.airbnb.com/rooms/997382,4,1.0,4.63
213532,Haight Ashbury Experience Room 4,Haight Ashbury,Private room,111,1,763,351,Here are the links to all of the Rooms: Room 1 https://www.airbnb.com/rooms/212783 Room 2 https://www.airbnb.com/rooms/209514 Room 3 https://www.airbnb.com/rooms/220418 Room 4 https://www.airbnb.com/rooms/213532 Room 5 https://www.airbnb.com/rooms/997382,2,1.0,4.55
218006,ASHA BAY Little private Room,Excelsior,Private room,55,2,141,80,This room used to be my good vibration healing room. It is the perfect space for a quiet retreat. Very cozy and quiet.,1,2.0,4.73
220418,Haight Ashbury Experience Room 3,Haight Ashbury,Private room,134,1,650,355,Here are the links to all of the Rooms: Room 1 https://www.airbnb.com/rooms/212783 Room 2 https://www.airbnb.com/rooms/209514 Room 3 https://www.airbnb.com/rooms/220418 Room 4 https://www.airbnb.com/rooms/213532 Room 5 https://www.airbnb.com/rooms/997382,2,1.0,4.54
231129,Nob Hill Mini Mansion,Nob Hill,Entire home/apt,629,3,77,136,The Dollhouse offers the opportunity to experience a piece of history in the comfort of old San Francisco in a San Francisco Landmark property.,8,4.0,4.4
