customer_id,company,industry,region,plan,seats,mrr,signup_date,last_active_date,support_tickets_90d,nps_score,churned,churn_reason,feedback
C00056,Harbor Analytics Co,Manufacturing,NA,Growth,48,2755.94,2024-01-25,2026-08-28,0,6,0,,We outgrew the product; it is fine for small teams but not for us.
C00057,Ironclad Partners Inc,Retail,NA,Starter,7,217.53,2023-02-05,2026-08-22,1,7,0,,"Good product, waiting on the custom fields feature. Some room for improvement."
C00058,Stellar Learning,Healthcare,EMEA,Enterprise,215,17609.37,2023-12-30,2026-08-16,0,7,0,,Good enough integration options for our stack.
C00059,Copperfield Robotics,SaaS,APAC,Starter,4,120.65,2024-05-01,2026-08-12,1,6,0,,The forecasting module is too simplistic for our use case.
C00060,Tidewater Capital Co,SaaS,APAC,Growth,36,2038.26,2025-08-12,2026-08-12,0,8,0,,"Solid basics, some rough edges in the admin console. Overall it is fine."
C00061,Riverbend Learning,Education,EMEA,Starter,7,202.26,2025-11-15,2026-08-12,0,9,0,,"We were live in two days, which is unheard of for us. Would buy again without hesitation."
C00062,Beacon Digital Co,Retail,NA,Growth,71,4103.93,2024-11-09,2026-08-19,2,7,0,,Would like more flexible billing for seasonal staff. Happy enough to stay for now.
C00063,Sable Networks,Healthcare,NA,Growth,14,820.59,2026-03-27,2026-08-21,4,6,0,,Support tickets sit for days before anyone replies.
C00064,Windmill Health,Manufacturing,NA,Growth,40,2240.24,2024-04-03,2026-08-31,3,7,0,,"Good product, waiting on the custom fields feature."
C00065,Harbor Digital Co,Healthcare,NA,Starter,8,220.37,2024-09-22,2026-08-22,1,7,0,,"Most of the team uses it weekly, a few power users daily. Some room for improvement."
C00066,Solstice Analytics GmbH,Healthcare,APAC,Starter,4,110.38,2025-02-26,2026-02-12,2,4,1,Onboarding too complex,The setup wizard failed twice and we gave up on the advanced features. It has been a disappointing year.
C00067,Pioneer Media GmbH,Healthcare,EMEA,Starter,13,394.63,2023-08-14,2026-08-17,2,5,0,,Webhook payloads changed without notice and broke our pipeline. Renewal is unlikely.
C00068,Evergreen Works Inc,Fintech,NA,Enterprise,165,14190.88,2024-06-19,2026-08-26,1,8,0,,Reports are a bit slow at month end.
C00069,Foxglove Retail Co,SaaS,NA,Starter,4,115.34,2026-02-22,2026-08-01,2,6,0,,The mobile app crashes whenever we open a large report. Would not recommend at this point.
C00070,Summit Analytics,Retail,NA,Growth,39,2303.24,2024-08-29,2026-08-13,1,5,0,,"No audit log, which our compliance team requires. Would not recommend at this point."
C00071,Redwood Partners,SaaS,APAC,Growth,27,1713.9,2026-04-03,2026-08-14,4,5,0,,The support team is friendly but never actually fixes anything. It has been a disappointing year.
C00072,Nimbus Retail,Retail,NA,Starter,11,324.6,2025-05-15,2026-08-16,0,8,0,,"Fine for simple questions, weaker on technical issues. Happy enough to stay for now."
C00073,Ember Studio,Media,NA,Starter,6,163.87,2023-08-05,2026-06-21,3,4,0,,The mobile app crashes whenever we open a large report.
C00074,Copperfield Works,Fintech,NA,Starter,1,28.87,2024-08-07,2026-06-09,4,5,1,Company downsized,Our budget was cut and the platform was the first thing to go. Would not recommend at this point.
C00075,Cobalt Systems Inc,SaaS,APAC,Growth,60,3182.56,2024-04-12,2026-08-21,1,8,0,,Would like faster responses on weekends. Some room for improvement.
C00076,Orbit Learning Co,Fintech,EMEA,Enterprise,111,9374.09,2026-04-27,2026-08-22,0,8,0,,"Solid basics, some rough edges in the admin console."
C00077,Nimbus Networks Co,Fintech,EMEA,Starter,7,195.4,2024-03-04,2026-08-15,0,6,0,,Dashboards time out constantly when we filter more than a few weeks. Renewal is unlikely.
C00078,Summit Health,Education,NA,Enterprise,377,30206.56,2024-09-11,2026-08-16,2,6,0,,We were never shown how to use the reporting module.
C00079,Ember Supply,Healthcare,NA,Starter,7,184.63,2025-05-30,2026-08-28,0,7,0,,Would prefer usage-based pricing over per-seat.
C00080,Meridian Works Co,Manufacturing,APAC,Starter,11,321.13,2026-05-12,2026-05-13,4,5,1,Poor support experience,Webhook payloads changed without notice and broke our pipeline.
C00081,Cobalt Learning GmbH,Education,NA,Enterprise,284,21701.11,2024-11-27,2026-08-22,0,9,0,,Every ticket we raised was resolved the same day.
C00082,Oakridge Group Ltd,Retail,NA,Enterprise,89,8089.26,2025-12-17,2026-07-31,2,6,0,,The roadmap items we were promised never shipped.
C00083,Stellar Digital GmbH,Manufacturing,EMEA,Starter,7,208.64,2023-05-30,2026-08-23,2,7,0,,Onboarding was fine but could use more templates.
C00084,Nimbus Retail Inc,SaaS,NA,Growth,37,1971.55,2026-02-10,2026-08-15,3,4,0,,The setup wizard failed twice and we gave up on the advanced features. Renewal is unlikely.
C00085,Oakridge Logistics,SaaS,NA,Enterprise,372,29945.43,2023-09-22,2026-08-24,0,10,0,,Easily worth the seat cost given the time saved.
C00086,Juniper Networks GmbH,SaaS,APAC,Growth,24,1412.16,2025-08-31,2026-02-07,6,2,1,Onboarding too complex,Honestly we barely used it; it never became part of our workflow.
C00087,Cascade Works Inc,Education,EMEA,Growth,17,969.76,2024-11-12,2026-08-19,5,5,0,,We opened four tickets for the same bug and got four different answers. We are evaluating alternatives.
C00088,Mosaic Group,Retail,NA,Starter,3,87.65,2025-02-10,2026-08-26,2,9,0,,It became part of our daily workflow almost immediately. Highly recommended.
C00089,Harbor Dynamics Co,SaaS,NA,Starter,12,333.62,2023-04-29,2026-02-12,1,5,1,Low usage / no longer needed,The Salesforce integration breaks every other week.
C00090,Stellar Digital Ltd,Retail,EMEA,Growth,18,1057.56,2024-11-10,2026-08-26,0,7,0,,"Most of the team uses it weekly, a few power users daily. Some room for improvement."
C00091,Bluepeak Media,SaaS,NA,Growth,59,3192.47,2023-04-21,2026-08-15,2,6,0,,The setup wizard failed twice and we gave up on the advanced features.
C00092,Zenith Retail LLC,Education,NA,Starter,7,202.91,2024-12-04,2026-07-08,1,9,1,Integration gaps,The Salesforce and Slack integrations work flawlessly.
C00093,Vertex Networks Inc,Retail,EMEA,Starter,4,123.59,2024-06-02,2026-04-23,9,2,1,Onboarding too complex,The setup wizard failed twice and we gave up on the advanced features.
C00094,Falcon Systems,Retail,EMEA,Starter,11,321.55,2023-09-15,2026-01-07,2,7,1,Switched to competitor,"Good product, waiting on the custom fields feature. We will see how the next release goes."
C00095,Oakridge Studio,Fintech,LATAM,Growth,24,1444.57,2024-09-18,2026-08-25,4,4,0,,The support team is friendly but never actually fixes anything.
C00096,Redwood Dynamics GmbH,Healthcare,NA,Starter,3,84.83,2023-10-01,2026-08-25,7,4,0,,The support team is friendly but never actually fixes anything. Renewal is unlikely.
C00097,Vertex Capital GmbH,Retail,NA,Starter,3,87.78,2023-04-16,2026-02-12,7,4,1,Too expensive,Too expensive compared with the alternatives we evaluated.
C00098,Orbit Digital Co,SaaS,EMEA,Starter,7,200.77,2023-02-13,2026-08-29,0,7,0,,"Solid basics, some rough edges in the admin console. Some room for improvement."
C00099,Frontier Systems Ltd,SaaS,EMEA,Enterprise,119,10025.73,2024-03-11,2026-08-17,2,6,0,,Reporting is too rigid; we ended up exporting to spreadsheets anyway. It has been a disappointing year.
C00100,Windmill Health,Logistics,NA,Growth,60,3377.66,2025-08-09,2026-08-26,2,6,0,,We opened four tickets for the same bug and got four different answers. Renewal is unlikely.
C00101,Aurora Robotics GmbH,Media,EMEA,Starter,7,198.94,2025-01-05,2026-08-24,2,6,0,,We opened four tickets for the same bug and got four different answers.
C00102,Aurora Software Ltd,Education,NA,Starter,6,171.23,2023-06-09,2026-08-24,5,4,0,,"A competitor offered everything we needed at a lower price, so we switched."
C00103,Bluepeak Robotics Co,Fintech,APAC,Starter,12,341.23,2024-07-20,2026-08-11,2,6,0,,No phone support and email replies take forever. Renewal is unlikely.
C00104,Silverlake Group,Logistics,APAC,Growth,19,1098.32,2025-01-12,2026-08-20,2,3,0,,Chat support only sends links to docs we have already read.
C00105,Nimbus Capital,Manufacturing,NA,Growth,72,3978.02,2023-10-26,2026-07-10,1,6,0,,The per-seat model punishes us every time we onboard a contractor.
C00106,Cascade Health GmbH,Education,LATAM,Growth,54,2919.84,2023-06-25,2026-08-22,0,6,0,,Onboarding was confusing and we never really got set up properly. Frustrating overall.
C00107,Ironclad Learning Ltd,Retail,LATAM,Growth,19,1188.17,2023-11-14,2026-01-20,2,5,1,Company downsized,The per-seat model punishes us every time we onboard a contractor.
C00108,Quantum Systems LLC,Fintech,NA,Starter,4,128.43,2023-03-26,2026-03-29,4,4,1,Missing features,The roadmap items we were promised never shipped.
C00109,Northwind Foods Inc,SaaS,NA,Starter,14,396.78,2023-11-06,2026-08-20,1,9,0,,The mobile app is snappy and dependable.
C00110,Falcon Supply,Media,EMEA,Starter,2,58.68,2024-11-11,2026-08-01,2,4,0,,"No audit log, which our compliance team requires. Renewal is unlikely."
C00111,Beacon Analytics,Retail,NA,Starter,3,90.61,2025-10-19,2026-08-26,0,9,0,,Performance is excellent even at month-end peaks.
C00112,Granite Networks Inc,SaaS,NA,Starter,4,114.77,2026-01-19,2026-04-26,3,6,1,Low usage / no longer needed,We were never shown how to use the reporting module.
C00113,Bluepeak Analytics,Fintech,NA,Growth,17,963.11,2025-05-08,2026-08-23,1,6,0,,Too expensive compared with the alternatives we evaluated. Renewal is unlikely.
C00114,Beacon Networks Ltd,Healthcare,LATAM,Starter,3,93.05,2024-03-30,2026-01-09,6,3,1,Reliability issues,We were never shown how to use the reporting module.
C00115,Cascade Digital,SaaS,NA,Growth,51,2875.17,2026-04-06,2026-08-21,1,8,0,,"Mostly stable, with the occasional slow dashboard. We will see how the next release goes."
C00116,Stellar Digital,Media,APAC,Starter,6,176.22,2026-03-18,2026-08-19,3,5,0,,The price per seat is hard to justify for a team our size.
C00117,Cobalt Retail Inc,Manufacturing,NA,Starter,10,306.83,2024-04-01,2026-08-28,4,6,0,,We had three outages in one month during peak hours. We are evaluating alternatives.
C00118,Orbit Analytics Ltd,Education,NA,Growth,17,1033.9,2023-01-14,2026-08-20,2,7,0,,"Our account manager is responsive, tier-1 support less so."
C00119,Pioneer Labs LLC,Retail,APAC,Starter,10,289.44,2024-07-07,2026-08-30,5,5,0,,Performance degraded badly as our dataset grew.
C00120,Silverlake Studio Co,Healthcare,NA,Starter,9,250.8,2024-08-17,2026-04-21,5,4,1,Reliability issues,The mobile app crashes whenever we open a large report. Would not recommend at this point.
C00121,Quantum Labs Co,Healthcare,NA,Starter,2,56.86,2025-05-13,2026-08-29,2,4,0,,Our budget was cut and the platform was the first thing to go. Renewal is unlikely.
C00122,Meridian Dynamics,Education,NA,Growth,24,1484.24,2023-07-07,2026-01-23,0,8,1,Onboarding too complex,"Most of the team uses it weekly, a few power users daily."
C00123,Ironclad Logistics LLC,SaaS,EMEA,Starter,10,297.91,2024-11-26,2026-08-18,5,8,0,,"Our account manager is responsive, tier-1 support less so."
C00124,Mosaic Labs Inc,Retail,NA,Enterprise,100,9138.25,2024-02-07,2026-08-17,3,4,0,,Performance degraded badly as our dataset grew. It has been a disappointing year.
C00125,Atlas Health,SaaS,NA,Enterprise,120,10811.55,2024-09-24,2026-08-13,3,5,0,,Escalations go nowhere; we had to chase our account manager repeatedly.
C00126,Stellar Partners Co,Retail,NA,Growth,51,2780.77,2023-01-31,2026-08-25,1,10,0,,The Salesforce and Slack integrations work flawlessly.
C00127,Crescent Learning Inc,Fintech,NA,Starter,5,150.73,2024-11-05,2026-08-16,5,4,0,,Exports randomly fail with no error message. Frustrating overall.
C00128,Brightline Supply,SaaS,NA,Growth,60,3321.18,2023-02-15,2026-08-11,2,7,0,,Documentation is solid but a guided setup call would have helped. Happy enough to stay for now.
C00129,Oakridge Analytics GmbH,SaaS,EMEA,Starter,9,281.18,2025-12-24,2026-06-05,6,4,1,Missing features,We outgrew the product; it is fine for small teams but not for us. We are evaluating alternatives.
C00130,Zenith Group Ltd,Healthcare,NA,Enterprise,392,33980.42,2025-06-28,2026-08-31,1,8,0,,"The annual discount helped, monthly pricing feels steep. Overall it is fine."
C00131,Brightline Health Inc,SaaS,NA,Growth,49,2693.59,2026-03-20,2026-08-15,5,4,0,,Response times got noticeably worse over the last quarter.
C00132,Crescent Software,Logistics,EMEA,Starter,9,259.13,2025-04-15,2026-07-23,3,7,0,,"One outage this quarter, communicated well."
C00133,Frontier Supply Ltd,Healthcare,EMEA,Starter,4,115.93,2026-06-03,2026-06-04,1,9,1,Switched to competitor,We expanded to two more teams because it works so well.
C00134,Lumen Systems Inc,Fintech,NA,Growth,59,3143.4,2023-09-23,2026-08-11,1,8,0,,Would like faster responses on weekends. Happy enough to stay for now.
C00135,Beacon Works Ltd,Healthcare,NA,Enterprise,131,10421.01,2023-01-08,2026-08-23,4,4,0,,Response times got noticeably worse over the last quarter.
C00136,Ember Health,SaaS,NA,Growth,37,2055.26,2026-02-23,2026-08-14,3,6,0,,Chat support only sends links to docs we have already read.
C00137,Atlas Media,Logistics,LATAM,Growth,50,2684.95,2025-04-21,2026-08-25,2,8,0,,Support quality varies a lot depending on who picks up the ticket.
C00138,Lumen Systems,Retail,NA,Growth,28,1616.57,2025-05-27,2026-08-30,2,8,0,,We like the dashboards but want more automation.
C00139,Riverbend Software,Manufacturing,NA,Enterprise,307,25742.25,2024-01-06,2026-05-10,5,4,1,Missing features,The forecasting module is too simplistic for our use case. Would not recommend at this point.
C00140,Windmill Labs Co,SaaS,NA,Growth,50,2749.23,2024-03-04,2026-08-24,2,6,0,,Too expensive compared with the alternatives we evaluated. Frustrating overall.
C00141,Lumen Analytics Co,Retail,NA,Starter,6,174.05,2025-05-16,2026-04-05,3,7,1,Budget cuts,Costs are acceptable for what we use today.
C00142,Ironclad Works Co,Retail,NA,Growth,43,2523.46,2024-06-04,2026-04-21,6,4,1,Reliability issues,Exports randomly fail with no error message. Frustrating overall.
C00143,Oakridge Group,Logistics,NA,Enterprise,250,21594.89,2023-04-08,2026-06-18,0,10,0,,Best customer success team we have worked with. Would buy again without hesitation.
C00144,Foxglove Retail,Healthcare,EMEA,Starter,12,377.34,2024-01-09,2026-08-20,3,4,0,,The Salesforce integration breaks every other week. Frustrating overall.
C00145,Riverbend Works Inc,Retail,EMEA,Starter,4,113.96,2024-05-05,2026-06-18,2,7,0,,Costs are acceptable for what we use today. Happy enough to stay for now.
C00146,Pioneer Foods,Fintech,EMEA,Starter,8,239.27,2025-11-25,2026-06-04,2,8,0,,We sync with our warehouse nightly and it mostly works.
C00147,Northwind Analytics LLC,Fintech,APAC,Starter,12,342.66,2024-03-14,2026-08-11,5,2,0,,The mobile app crashes whenever we open a large report. Frustrating overall.
C00148,Ironclad Dynamics Ltd,Healthcare,NA,Growth,38,2038.26,2024-09-22,2026-02-09,5,3,1,Low usage / no longer needed,It took weeks to import our data and the docs were out of date.
C00149,Windmill Systems Inc,Retail,APAC,Starter,5,157.44,2025-02-01,2026-03-03,8,5,1,Budget cuts,We could not connect it to our data warehouse without a consultant.
C00150,Frontier Retail,SaaS,EMEA,Growth,74,3935.62,2023-06-22,2026-08-18,3,7,0,,Tickets get resolved eventually but it takes follow-ups.
C00151,Meridian Learning GmbH,Manufacturing,APAC,Starter,5,132.06,2025-01-12,2026-08-13,4,5,0,,We opened four tickets for the same bug and got four different answers. It has been a disappointing year.
C00152,Falcon Digital,Media,EMEA,Enterprise,210,17171.08,2023-09-15,2026-08-19,1,5,0,,Half the team stopped logging in after the first month. It has been a disappointing year.
C00153,Ember Systems Inc,SaaS,NA,Enterprise,167,12924.13,2026-01-25,2026-08-19,5,4,0,,The per-seat model punishes us every time we onboard a contractor. It has been a disappointing year.
C00154,Oakridge Networks GmbH,Healthcare,NA,Growth,33,1741.81,2024-01-14,2026-08-11,1,7,0,,The mobile app lags behind the web app.
C00155,Quantum Group GmbH,SaaS,NA,Growth,40,2119.42,2024-01-24,2026-03-15,2,7,1,Low usage / no longer needed,We are still ramping up usage across the team.
C00156,Falcon Dynamics GmbH,Education,NA,Starter,6,174.25,2024-05-29,2026-03-24,2,7,1,Low usage / no longer needed,"Setup took longer than expected, mostly on our side. Some room for improvement."
C00157,Lumen Learning Ltd,Fintech,EMEA,Enterprise,98,8283.13,2024-04-04,2026-08-20,2,5,0,,"No native Slack or HubSpot connector, so we had to build our own."
C00158,Bluepeak Dynamics Inc,Education,NA,Growth,35,2012.32,2025-01-26,2026-08-31,1,5,0,,The API is rate limited so aggressively that our sync jobs fail nightly.
C00159,Cascade Analytics GmbH,Education,NA,Starter,10,268.24,2025-07-11,2026-08-09,1,8,0,,"The Slack integration is handy, the HubSpot one is limited."
C00160,Keystone Works,Manufacturing,LATAM,Enterprise,275,23023.0,2026-05-15,2026-08-16,2,7,0,,"Mostly stable, with the occasional slow dashboard."
C00161,Ember Group Inc,SaaS,EMEA,Starter,6,171.74,2026-02-07,2026-08-25,0,9,0,,Webhooks are reliable and easy to configure. Would buy again without hesitation.
C00162,Cascade Works Co,Logistics,EMEA,Growth,24,1462.75,2023-12-01,2026-08-20,0,8,0,,"Solid basics, some rough edges in the admin console."
C00163,Crescent Logistics Inc,Fintech,NA,Starter,6,176.45,2025-02-09,2026-08-21,3,7,0,,Useful tool; the roadmap looks promising. Happy enough to stay for now.
C00164,Cascade Media GmbH,SaaS,EMEA,Growth,27,1668.63,2024-02-24,2026-08-14,2,8,0,,Pricing is fair but the Growth tier is a big jump from Starter. Overall it is fine.
C00165,Ember Media LLC,Healthcare,APAC,Starter,4,114.32,2025-10-24,2026-08-25,4,6,0,,The roadmap items we were promised never shipped.
C00166,Ember Supply,Retail,EMEA,Starter,14,398.45,2023-01-31,2026-07-03,5,5,1,Missing features,The forecasting module is too simplistic for our use case.
C00167,Crescent Foods,Manufacturing,EMEA,Growth,71,3960.1,2026-06-23,2026-06-24,7,3,1,Switched to competitor,The forecasting module is too simplistic for our use case.
C00168,Meridian Supply GmbH,Manufacturing,EMEA,Enterprise,175,15332.5,2024-04-20,2026-08-28,1,8,0,,Costs are acceptable for what we use today.
C00169,Halcyon Health,Fintech,NA,Starter,11,329.53,2025-08-08,2026-08-19,2,5,0,,Exports randomly fail with no error message. Frustrating overall.
C00170,Harbor Systems,Logistics,EMEA,Growth,30,1792.78,2025-05-11,2026-08-18,0,9,0,,The Salesforce and Slack integrations work flawlessly. Would buy again without hesitation.
C00171,Cascade Digital Inc,Fintech,LATAM,Growth,43,2381.37,2024-04-13,2026-07-06,2,7,1,Integration gaps,"Decent value, though we keep an eye on seat costs. Some room for improvement."
C00172,Crescent Systems,Retail,NA,Enterprise,215,18065.99,2026-05-13,2026-08-12,3,5,0,,Half the team stopped logging in after the first month.
C00173,Orbit Learning,Fintech,NA,Starter,7,206.33,2023-12-07,2026-08-17,2,10,0,,"Fast, friendly and technically sharp support."
C00174,Redwood Robotics,Logistics,NA,Growth,37,2195.44,2025-08-02,2026-08-30,1,7,0,,Setup for SSO was fiddly but works now.
C00175,Pioneer Digital,SaaS,NA,Enterprise,84,7658.84,2026-03-31,2026-08-19,0,9,0,,The Salesforce and Slack integrations work flawlessly.
