order_id,customer_id,order_date,city,state,category,product,quantity,unit_price,discount_pct,shipping_days,returned,rating,review_text
O100037,U11735,2025-01-04,Miami,FL,Apparel,Slim Fit Chinos,1,57.49,40,8,1,3,Looks good but wrinkles easily. Shipping took forever. Sent it back for a refund.
O100038,U10248,2025-01-04,Chicago,IL,Toys & Games,1000-piece Jigsaw Puzzle,1,19.23,0,7,0,5,Hours of fun for the whole family.
O100039,U12933,2025-01-04,Chicago,IL,Beauty,Electric Toothbrush,1,76.38,10,6,0,4,Great results in two weeks.
O100040,U11828,2025-01-04,New York,NY,Apparel,Graphic Cotton Tee,1,24.12,10,4,0,3,"Nice color, fabric thinner than expected."
O100041,U12051,2025-01-04,Phoenix,AZ,Apparel,Linen Summer Dress,3,70.21,0,3,0,2,"Nothing like the photos, thin and see-through."
O100042,U11244,2025-01-04,Denver,CO,Beauty,Mineral Sunscreen SPF50,1,21.89,0,7,0,4,Skin feels noticeably smoother. Arrived much later than promised.
O100043,U11522,2025-01-04,Los Angeles,CA,Beauty,Hair Dryer Ionic,1,60.82,20,3,0,5,Lovely packaging and product.
O100044,U10663,2025-01-04,Austin,TX,Electronics,4K Streaming Stick,1,49.44,40,2,0,3,"Sound is fine, battery is average."
O100045,U10593,2025-01-04,New York,NY,Apparel,Classic Denim Jacket,3,79.49,20,7,0,3,"Nice color, fabric thinner than expected. Delivery was very slow."
O100046,U12328,2025-01-04,Columbus,OH,Electronics,Action Camera Mini,3,182.67,0,4,0,2,Battery life is a fraction of what was advertised.
O100047,U12674,2025-01-04,Austin,TX,Apparel,Running Tights,1,49.36,30,2,0,2,Fabric feels cheap and the color faded immediately.
O100048,U12378,2025-01-05,Houston,TX,Electronics,Portable Power Bank 20k,1,39.27,40,4,0,4,"Setup took two minutes, flawless since."
O100049,U10354,2025-01-05,Dallas,TX,Apparel,Graphic Cotton Tee,1,23.16,30,3,0,4,"Great quality, exactly as pictured."
O100050,U11775,2025-01-05,New York,NY,Home & Kitchen,Air Fryer 5qt,1,92.91,50,2,0,4,"Solid build, highly recommend."
O100051,U13047,2025-01-05,Phoenix,AZ,Home & Kitchen,Cast Iron Skillet,1,45.09,10,3,0,4,Use it every single day.
O100052,U10087,2025-01-05,Chicago,IL,Beauty,Hydrating Face Mask Pack,1,18.56,0,6,0,4,"Perfect shade, long lasting."
O100053,U13016,2025-01-05,Dallas,TX,Beauty,Hair Dryer Ionic,1,57.53,20,1,0,4,Great results in two weeks. Delivered in two days.
O100054,U11142,2025-01-05,San Antonio,TX,Apparel,Slim Fit Chinos,3,59.1,0,2,0,3,Fine for the price.
O100055,U10155,2025-01-05,Denver,CO,Beauty,Mineral Sunscreen SPF50,1,22.83,10,2,0,4,Lovely packaging and product.
O100056,U10072,2025-01-05,New York,NY,Electronics,Wireless Earbuds Pro,1,131.33,0,4,0,4,Crisp picture and fast interface.
O100057,U13058,2025-01-05,New York,NY,Apparel,Graphic Cotton Tee,3,24.52,25,4,0,4,True to size and beautifully made.
O100058,U11209,2025-01-05,New York,NY,Electronics,Action Camera Mini,2,203.31,40,7,0,3,"Works as described, setup was fiddly. Shipping took forever."
O100059,U11527,2025-01-05,Houston,TX,Apparel,Leather Ankle Boots,1,151.86,0,2,0,3,Fine for the price.
O100060,U10062,2025-01-05,Memphis,TN,Toys & Games,Strategy Board Game,1,43.58,10,8,0,5,Perfect birthday gift. Arrived much later than promised.
O100061,U12764,2025-01-05,New York,NY,Apparel,Classic Denim Jacket,1,76.7,50,7,1,3,"Fits okay after washing, average overall. Returning this one."
O100062,U11620,2025-01-05,Detroit,MI,Home & Kitchen,Ceramic Dinnerware Set,2,86.85,40,3,0,3,Does what it says.
O100063,U12261,2025-01-06,Los Angeles,CA,Electronics,Mechanical Keyboard,4,104.88,0,4,0,4,Build quality is superb.
O100064,U10228,2025-01-06,Los Angeles,CA,Sports & Outdoors,Adjustable Dumbbells,1,220.59,30,4,0,4,"Great gear, worth every penny."
O100065,U11041,2025-01-06,New York,NY,Toys & Games,STEM Robotics Kit,4,93.65,15,2,0,4,Engaging and sturdy.
O100066,U11177,2025-01-06,New York,NY,Apparel,Leather Ankle Boots,2,153.55,20,5,0,3,Looks good but wrinkles easily.
O100067,U12744,2025-01-06,Charlotte,NC,Electronics,Portable Power Bank 20k,2,37.49,0,8,0,4,Exceeded expectations. Took over a week to arrive.
O100068,U12196,2025-01-06,San Diego,CA,Apparel,Linen Summer Dress,1,70.08,40,3,0,3,"Fits okay after washing, average overall."
O100069,U12735,2025-01-06,New York,NY,Home & Kitchen,Robot Vacuum,3,309.16,10,4,1,3,Does what it says. Had to return it.
O100070,U10810,2025-01-06,Chicago,IL,Electronics,Mechanical Keyboard,3,107.68,0,3,0,4,"Setup took two minutes, flawless since."
O100071,U12741,2025-01-06,New York,NY,Home & Kitchen,Cold Brew Coffee Maker,1,36.19,0,5,0,5,Great quality for the price.
O100072,U13401,2025-01-06,New York,NY,Apparel,Waterproof Rain Shell,1,125.44,15,3,0,4,"Great quality, exactly as pictured."
O100073,U13486,2025-01-06,Los Angeles,CA,Apparel,Classic Denim Jacket,2,81.85,40,1,0,3,Looks good but wrinkles easily. Arrived quickly.
O100074,U11250,2025-01-06,New York,NY,Home & Kitchen,Cold Brew Coffee Maker,2,34.79,15,3,0,3,Does what it says.
O100075,U10934,2025-01-06,San Francisco,CA,Beauty,Nail Polish Gift Set,1,24.63,0,4,0,4,My new daily essential.
O100076,U13271,2025-01-06,New York,NY,Beauty,Mineral Sunscreen SPF50,1,22.1,0,8,0,2,Broke me out badly. Delivery was very slow.
O100077,U10108,2025-01-07,New York,NY,Sports & Outdoors,Adjustable Dumbbells,1,242.55,0,3,0,5,Kept me dry through a storm.
O100078,U11529,2025-01-07,Detroit,MI,Electronics,Action Camera Mini,4,213.79,0,2,0,4,"Fantastic value, works better than my old premium one. Arrived quickly."
O100079,U12171,2025-01-07,Memphis,TN,Apparel,Graphic Cotton Tee,2,25.27,40,6,1,3,Fine for the price. Returning this one.
O100080,U10007,2025-01-07,San Antonio,TX,Apparel,Leather Ankle Boots,3,145.17,25,3,0,4,"Warm, soft and well stitched."
O100081,U10285,2025-01-07,Los Angeles,CA,Home & Kitchen,Cold Brew Coffee Maker,3,38.98,0,1,0,5,"Sturdy, beautiful and works perfectly."
O100082,U10590,2025-01-07,Boston,MA,Beauty,Mineral Sunscreen SPF50,2,21.76,0,3,0,5,Skin feels noticeably smoother.
O100083,U13042,2025-01-07,New York,NY,Apparel,Merino Wool Sweater,2,93.58,40,4,0,5,"Warm, soft and well stitched."
O100084,U12440,2025-01-07,New York,NY,Apparel,Leather Ankle Boots,1,141.16,40,5,0,3,Looks good but wrinkles easily.
O100085,U11794,2025-01-08,Phoenix,AZ,Toys & Games,1000-piece Jigsaw Puzzle,3,21.91,0,4,0,4,Hours of fun for the whole family.
O100086,U12663,2025-01-08,New York,NY,Apparel,Waterproof Rain Shell,2,121.44,0,7,0,3,Fine for the price.
O100087,U11658,2025-01-08,Columbus,OH,Sports & Outdoors,Cycling Helmet,1,62.89,15,1,0,5,"Great gear, worth every penny."
O100088,U13200,2025-01-08,San Antonio,TX,Apparel,Graphic Cotton Tee,2,24.13,0,6,0,3,"Decent quality, a bit tight around the waist."
O100089,U12471,2025-01-08,Chicago,IL,Electronics,4K Streaming Stick,1,50.08,10,2,0,3,Good value but feels a little plasticky. Delivered in two days.
O100090,U13012,2025-01-08,New York,NY,Home & Kitchen,Weighted Blanket,5,78.69,10,2,1,4,"Solid build, highly recommend. Sent it back for a refund."
O100091,U11536,2025-01-08,Austin,TX,Apparel,Slim Fit Chinos,2,60.69,0,3,0,4,"Comfortable and stylish, wearing it constantly."
O100092,U10292,2025-01-08,Columbus,OH,Electronics,Mechanical Keyboard,1,122.52,40,5,0,4,Excellent sound and battery lasts for days.
O100093,U10076,2025-01-08,San Antonio,TX,Electronics,Action Camera Mini,1,198.11,0,3,0,4,Exceeded expectations.
O100094,U12331,2025-01-08,San Jose,CA,Apparel,Waterproof Rain Shell,1,141.41,10,1,1,3,"Nice color, fabric thinner than expected. Had to return it."
O100095,U11023,2025-01-08,New York,NY,Toys & Games,Strategy Board Game,1,45.84,0,6,0,5,Well made and educational.
O100096,U10205,2025-01-08,New York,NY,Sports & Outdoors,Yoga Mat Premium,2,41.63,0,2,0,5,Perfect for my home gym. Fast shipping.
O100097,U11627,2025-01-08,New York,NY,Sports & Outdoors,Camping Tent 2P,2,145.22,40,3,0,4,Durable and comfortable on long runs.
O100098,U11748,2025-01-08,San Francisco,CA,Beauty,Vitamin C Serum,1,30.84,25,1,0,4,"Gentle, effective and smells great."
O100099,U11536,2025-01-09,Columbus,OH,Home & Kitchen,Robot Vacuum,1,306.65,10,3,0,4,"Sturdy, beautiful and works perfectly."
O100100,U11978,2025-01-09,Philadelphia,PA,Apparel,Merino Wool Sweater,1,92.38,50,5,0,5,"Warm, soft and well stitched."
O100101,U11241,2025-01-09,Dallas,TX,Apparel,Running Tights,1,43.33,10,4,0,3,"Decent quality, a bit tight around the waist."
O100102,U11349,2025-01-09,New York,NY,Home & Kitchen,Bamboo Cutting Board Set,1,31.14,0,2,0,4,Use it every single day.
O100103,U12328,2025-01-09,Columbus,OH,Home & Kitchen,Air Fryer 5qt,1,96.15,10,2,0,4,"Solid build, highly recommend."
O100104,U12040,2025-01-09,Charlotte,NC,Sports & Outdoors,Camping Tent 2P,2,141.44,0,2,0,4,"Great gear, worth every penny."
O100105,U12693,2025-01-09,Los Angeles,CA,Apparel,Classic Denim Jacket,5,87.55,25,1,0,4,True to size and beautifully made.
O100106,U11438,2025-01-09,Houston,TX,Sports & Outdoors,Adjustable Dumbbells,1,254.38,0,9,0,3,Good for beginners. Arrived much later than promised.
O100107,U12341,2025-01-09,Houston,TX,Home & Kitchen,Bamboo Cutting Board Set,1,29.9,10,4,0,5,"Solid build, highly recommend."
O100108,U13219,2025-01-09,Los Angeles,CA,Sports & Outdoors,Adjustable Dumbbells,4,254.95,0,3,0,4,Perfect for my home gym.
O100109,U11875,2025-01-09,Chicago,IL,Toys & Games,STEM Robotics Kit,1,97.18,10,4,0,4,Engaging and sturdy.
O100110,U11887,2025-01-09,Chicago,IL,Home & Kitchen,Cast Iron Skillet,1,46.04,20,4,0,3,Does what it says.
O100111,U10254,2025-01-09,Dallas,TX,Apparel,Merino Wool Sweater,3,88.85,10,3,0,4,"Comfortable and stylish, wearing it constantly."
O100112,U10001,2025-01-09,Seattle,WA,Home & Kitchen,Robot Vacuum,1,274.76,0,4,0,3,"Good enough, instructions unclear."
O100113,U12521,2025-01-09,New York,NY,Home & Kitchen,Air Fryer 5qt,1,89.56,25,6,0,3,"Average quality, nice design."
O100114,U13127,2025-01-09,Chicago,IL,Apparel,Graphic Cotton Tee,1,24.43,10,2,0,3,Fine for the price.
O100115,U12768,2025-01-10,New York,NY,Home & Kitchen,Robot Vacuum,1,280.78,0,6,0,3,Does what it says.
O100116,U11758,2025-01-10,Los Angeles,CA,Sports & Outdoors,Trail Running Shoes,3,120.81,40,2,0,4,Excellent grip and cushioning. Delivered in two days.
O100117,U10585,2025-01-10,New York,NY,Sports & Outdoors,Camping Tent 2P,1,136.36,0,5,0,4,Perfect for my home gym.
O100118,U13497,2025-01-10,Chicago,IL,Home & Kitchen,Cast Iron Skillet,2,47.62,10,1,0,5,Great quality for the price. Fast shipping.
O100119,U11181,2025-01-10,New York,NY,Apparel,Leather Ankle Boots,1,138.58,0,6,0,3,"Decent quality, a bit tight around the waist."
O100120,U10407,2025-01-10,Denver,CO,Electronics,4K Streaming Stick,1,49.27,0,4,0,4,Crisp picture and fast interface.
O100121,U10779,2025-01-10,Indianapolis,IN,Apparel,Merino Wool Sweater,1,97.55,40,5,0,3,Looks good but wrinkles easily.
O100122,U10497,2025-01-10,San Jose,CA,Apparel,Waterproof Rain Shell,1,118.17,0,2,0,3,"Decent quality, a bit tight around the waist."
O100123,U10144,2025-01-10,New York,NY,Sports & Outdoors,Yoga Mat Premium,1,43.9,40,5,1,3,Good for beginners.
O100124,U10594,2025-01-10,Los Angeles,CA,Apparel,Classic Denim Jacket,3,85.14,30,1,0,4,Best jacket I have owned.
O100125,U11146,2025-01-10,Denver,CO,Home & Kitchen,Robot Vacuum,1,285.45,0,5,0,4,Use it every single day.
O100126,U13099,2025-01-10,Phoenix,AZ,Electronics,Action Camera Mini,2,211.65,10,4,0,3,"Okay, app could be better."
O100127,U13361,2025-01-10,Honolulu,HI,Apparel,Leather Ankle Boots,1,152.91,30,11,1,2,"Nothing like the photos, thin and see-through. Delivery was very slow."
O100128,U10195,2025-01-10,Los Angeles,CA,Home & Kitchen,Weighted Blanket,3,79.83,0,4,0,4,"Sturdy, beautiful and works perfectly."
O100129,U10149,2025-01-10,Los Angeles,CA,Apparel,Slim Fit Chinos,1,61.56,0,4,0,4,"Warm, soft and well stitched."
O100130,U13405,2025-01-10,Las Vegas,NV,Sports & Outdoors,Insulated Water Bottle 32oz,1,32.0,15,3,0,4,Kept me dry through a storm.
O100131,U12052,2025-01-11,New York,NY,Home & Kitchen,Air Fryer 5qt,1,110.24,0,4,0,5,Use it every single day.
O100132,U12447,2025-01-11,Los Angeles,CA,Home & Kitchen,Cold Brew Coffee Maker,2,34.54,10,2,0,4,Cooks evenly and cleans up easily. Fast shipping.
O100133,U12790,2025-01-11,New York,NY,Beauty,Mineral Sunscreen SPF50,2,20.88,15,6,0,4,My new daily essential.
O100134,U11296,2025-01-11,Columbus,OH,Home & Kitchen,Cold Brew Coffee Maker,2,34.3,25,2,0,4,"Sturdy, beautiful and works perfectly. Delivered in two days."
O100135,U12659,2025-01-11,Memphis,TN,Home & Kitchen,Cold Brew Coffee Maker,1,37.65,0,2,0,4,Great quality for the price.
O100136,U11884,2025-01-11,Chicago,IL,Home & Kitchen,Cast Iron Skillet,2,47.13,40,3,0,5,Exactly what our kitchen needed.
O100137,U11379,2025-01-11,New York,NY,Toys & Games,Remote Control Car,1,62.31,40,2,1,2,Pieces missing from the box.
O100138,U12556,2025-01-11,Los Angeles,CA,Beauty,Nail Polish Gift Set,1,26.56,15,1,1,4,Lovely packaging and product. Arrived quickly.
O100139,U10276,2025-01-11,New York,NY,Home & Kitchen,Air Fryer 5qt,1,105.68,0,6,0,4,Use it every single day.
O100140,U12058,2025-01-12,Miami,FL,Electronics,Smart Home Speaker,1,82.99,15,6,0,5,"Fantastic value, works better than my old premium one."
O100141,U12197,2025-01-12,Phoenix,AZ,Home & Kitchen,Cold Brew Coffee Maker,1,38.85,0,2,0,4,"Solid build, highly recommend."
O100142,U11290,2025-01-12,Chicago,IL,Beauty,Electric Toothbrush,2,64.65,0,3,0,5,"Perfect shade, long lasting."
O100143,U12566,2025-01-12,Phoenix,AZ,Beauty,Nail Polish Gift Set,1,27.52,0,2,0,4,"Perfect shade, long lasting."
O100144,U10147,2025-01-12,New York,NY,Apparel,Classic Denim Jacket,3,79.28,0,3,0,3,"Nice color, fabric thinner than expected."
O100145,U11299,2025-01-12,Philadelphia,PA,Home & Kitchen,Cast Iron Skillet,1,44.69,0,3,0,4,"Sturdy, beautiful and works perfectly."
O100146,U13315,2025-01-12,Houston,TX,Electronics,Portable Power Bank 20k,3,41.74,0,4,0,5,"Fantastic value, works better than my old premium one."
O100147,U12340,2025-01-12,Chicago,IL,Beauty,Electric Toothbrush,1,66.02,0,3,0,5,"Perfect shade, long lasting."
O100148,U10817,2025-01-12,Los Angeles,CA,Apparel,Classic Denim Jacket,1,75.43,30,5,0,2,"Nothing like the photos, thin and see-through."
O100149,U11888,2025-01-12,Jacksonville,FL,Sports & Outdoors,Foam Roller,5,26.63,15,3,0,4,Durable and comfortable on long runs.
O100150,U11352,2025-01-12,Los Angeles,CA,Toys & Games,Plush Dinosaur,2,18.62,0,6,0,5,Hours of fun for the whole family.
O100151,U12961,2025-01-12,Los Angeles,CA,Home & Kitchen,Robot Vacuum,3,278.72,0,6,0,3,"Works well, a little loud."
O100152,U10292,2025-01-12,Denver,CO,Electronics,Mechanical Keyboard,1,108.94,20,3,0,4,"Setup took two minutes, flawless since."
O100153,U10086,2025-01-12,San Diego,CA,Apparel,Waterproof Rain Shell,5,115.02,40,3,1,3,Fine for the price. Had to return it.
O100154,U10266,2025-01-12,Omaha,NE,Home & Kitchen,Cold Brew Coffee Maker,1,34.95,0,4,0,4,Use it every single day.
O100155,U10803,2025-01-12,Atlanta,GA,Electronics,Mechanical Keyboard,2,96.94,0,2,0,4,Crisp picture and fast interface.
O100156,U11229,2025-01-12,Los Angeles,CA,Toys & Games,1000-piece Jigsaw Puzzle,3,22.17,0,3,0,4,Engaging and sturdy.
O100157,U12443,2025-01-12,New York,NY,Electronics,Wireless Earbuds Pro,2,116.95,15,4,0,4,Exceeded expectations.
O100158,U11268,2025-01-13,Houston,TX,Home & Kitchen,Bamboo Cutting Board Set,1,31.21,0,2,0,5,"Sturdy, beautiful and works perfectly."
O100159,U11709,2025-01-13,New York,NY,Beauty,Mineral Sunscreen SPF50,2,24.2,0,2,0,5,My new daily essential. Delivered in two days.
O100160,U10006,2025-01-13,Dallas,TX,Home & Kitchen,Cold Brew Coffee Maker,1,33.81,20,3,0,5,"Solid build, highly recommend."
O100161,U12161,2025-01-13,Boise,ID,Electronics,Smart Home Speaker,1,89.83,30,2,0,4,Build quality is superb. Delivered in two days.
O100162,U12132,2025-01-13,Houston,TX,Beauty,Beard Grooming Kit,4,33.34,0,2,0,4,Great results in two weeks.
O100163,U12064,2025-01-13,Omaha,NE,Beauty,Hydrating Face Mask Pack,1,18.52,0,6,0,3,Decent for daily use.
O100164,U11314,2025-01-13,New York,NY,Electronics,Mechanical Keyboard,1,99.61,10,7,0,4,Crisp picture and fast interface.
O100165,U10997,2025-01-13,Philadelphia,PA,Apparel,Graphic Cotton Tee,2,23.06,10,3,0,5,"Comfortable and stylish, wearing it constantly."
O100166,U11608,2025-01-13,Salt Lake City,UT,Apparel,Slim Fit Chinos,4,60.4,50,4,0,3,Fine for the price.
O100167,U11857,2025-01-13,Los Angeles,CA,Apparel,Running Tights,1,43.87,40,1,0,4,"Warm, soft and well stitched."
O100168,U12457,2025-01-13,San Diego,CA,Apparel,Merino Wool Sweater,1,87.32,0,3,0,4,Best jacket I have owned.
O100169,U11876,2025-01-13,Los Angeles,CA,Electronics,Noise-Cancelling Headphones,2,247.15,50,6,0,3,Good value but feels a little plasticky.
O100170,U10013,2025-01-13,New York,NY,Electronics,Smart Home Speaker,2,90.37,10,3,0,5,Exceeded expectations.
O100171,U10499,2025-01-13,Chicago,IL,Electronics,Noise-Cancelling Headphones,2,262.72,25,5,0,4,Crisp picture and fast interface.
O100172,U10695,2025-01-13,Atlanta,GA,Beauty,Vitamin C Serum,1,33.21,0,3,0,3,Decent for daily use.
O100173,U10740,2025-01-13,Dallas,TX,Toys & Games,Strategy Board Game,4,45.33,0,5,0,4,Well made and educational.
O100174,U13117,2025-01-13,Portland,OR,Apparel,Merino Wool Sweater,1,102.37,20,5,0,3,"Decent quality, a bit tight around the waist."
O100175,U13186,2025-01-13,Denver,CO,Electronics,Smart Home Speaker,2,86.42,0,2,0,5,"Setup took two minutes, flawless since."
O100176,U11100,2025-01-13,San Francisco,CA,Sports & Outdoors,Trail Running Shoes,1,134.5,15,2,0,4,Perfect for my home gym.
O100177,U12967,2025-01-13,New York,NY,Beauty,Vitamin C Serum,2,29.23,10,2,0,4,"Perfect shade, long lasting."
O100178,U11902,2025-01-13,New York,NY,Beauty,Hair Dryer Ionic,1,59.87,30,5,0,4,Lovely packaging and product.
O100179,U12804,2025-01-13,San Diego,CA,Home & Kitchen,Cold Brew Coffee Maker,1,35.68,0,2,0,5,Great quality for the price.
O100180,U11007,2025-01-14,New York,NY,Apparel,Running Tights,2,48.05,20,3,0,5,"Comfortable and stylish, wearing it constantly."
O100181,U12970,2025-01-14,New York,NY,Home & Kitchen,Robot Vacuum,2,268.5,0,5,0,4,Great quality for the price.
O100182,U12257,2025-01-14,Atlanta,GA,Toys & Games,Building Blocks 500pc,1,40.94,15,5,0,4,Well made and educational.
O100183,U11970,2025-01-14,New York,NY,Sports & Outdoors,Foam Roller,2,24.6,0,3,0,5,Lightweight and well made.
O100184,U12531,2025-01-14,Jacksonville,FL,Electronics,Action Camera Mini,1,205.73,0,1,0,3,"Works as described, setup was fiddly."
O100185,U11036,2025-01-14,Houston,TX,Home & Kitchen,Cast Iron Skillet,1,44.66,0,2,0,5,"Solid build, highly recommend."
O100186,U11263,2025-01-14,Philadelphia,PA,Home & Kitchen,Ceramic Dinnerware Set,2,93.14,15,4,0,5,Great quality for the price.
O100187,U12349,2025-01-14,New York,NY,Electronics,Portable Power Bank 20k,2,38.66,0,7,0,3,"Okay, app could be better. Took over a week to arrive."
O100188,U11839,2025-01-15,Los Angeles,CA,Electronics,Mechanical Keyboard,4,117.45,20,2,0,5,Crisp picture and fast interface. Fast shipping.
O100189,U11766,2025-01-15,New York,NY,Electronics,Mechanical Keyboard,1,117.37,20,4,0,5,Crisp picture and fast interface.
O100190,U10731,2025-01-15,New York,NY,Electronics,4K Streaming Stick,1,48.98,0,5,0,4,Crisp picture and fast interface.
O100191,U10810,2025-01-15,Jacksonville,FL,Sports & Outdoors,Adjustable Dumbbells,2,238.41,0,4,0,4,Excellent grip and cushioning.
O100192,U10903,2025-01-15,Chicago,IL,Toys & Games,Remote Control Car,2,56.95,40,4,0,4,"Great quality pieces, easy instructions."
O100193,U12779,2025-01-15,Dallas,TX,Electronics,Mechanical Keyboard,2,114.0,0,2,0,4,Excellent sound and battery lasts for days.
O100194,U12656,2025-01-15,Salt Lake City,UT,Apparel,Leather Ankle Boots,3,157.6,0,4,0,4,"Great quality, exactly as pictured."
O100195,U12092,2025-01-15,New York,NY,Toys & Games,1000-piece Jigsaw Puzzle,2,21.58,0,4,0,5,Engaging and sturdy.
O100196,U11561,2025-01-15,Miami,FL,Apparel,Running Tights,2,48.73,20,7,0,3,"Nice color, fabric thinner than expected. Shipping took forever."
O100197,U11499,2025-01-15,San Diego,CA,Toys & Games,Kids Art Easel,1,70.42,0,2,0,5,My kids adore it. Fast shipping.
O100198,U10006,2025-01-15,New York,NY,Home & Kitchen,Ceramic Dinnerware Set,1,95.12,20,4,0,3,"Average quality, nice design."
O100199,U10598,2025-01-15,Chicago,IL,Home & Kitchen,Bamboo Cutting Board Set,3,29.14,15,5,0,4,Exactly what our kitchen needed.
O100200,U12533,2025-01-15,Los Angeles,CA,Toys & Games,STEM Robotics Kit,1,93.68,15,7,0,4,"Great quality pieces, easy instructions. Took over a week to arrive."
